TOTAL,F,MED_E,NAC,EA19	17751.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EE	8321 	7646 	6929 b	6339 	5707 	5415 	5563 	5960 	5324 	4252 	3471 	2876 	2482 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EL	7422 	7480 	7636 	8074 	9368 	10760 	11690 	11274 	10688 	9938 	9636 	9226 	8650 	8073 	6974 	6629 	6164 	5788 	5261 	4833 	4365 
TOTAL,F,MED_E,NAC,ES	13490 	13249 	13091 	13444 	13695 	13699 	14450 	14355 	13623 b	11304 	10806 	10110 	10092 	: 	8728 	8043 	7410 	6730 	6283 	6058 	5824 
TOTAL,F,MED_E,NAC,EU	56475.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EU27	56600.8 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EU28	56475.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,FI	23225 	23375 	23150 	22791 	22196 	21336 	20854 	20334 	19180 	18096 	17911 	17071 	16310 	: 	14521 	13918 	13286 	12912 	12233 	12001 	: 
TOTAL,F,MED_E,NAC,FR	21416 	21137 	20875 	20619 	20292 	19683 	19597 	19287 	18663 b	16151 	15895 	15656 	14960 	: 	14628 	13986 	13716 	13518 	13109 	12898 	12537 
TOTAL,F,MED_E,NAC,HR	42400 	40833 	38425 	37470 	39450 	39924 	42010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,HU	1463757 	1396585 	1321020 	1270600 	1286727 	1216667 	1175838 	1178463 	1092000 	1031422 	943790 	860002 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,IE	: 	21183 	19951 	19561 	19420 	19077 	20034 	22081 	22389 	21345 	19080 	18311 	17434 	16767 	14037 	11993 	10832 	9933 	9017 	8328 	7812 
TOTAL,F,MED_E,NAC,IS	: 	3638777 	3598582 	3358665 	3065843 	3027219 	3117162 	3139147 	2802910 	2483559 	2195443 	2031426 	1902644 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,IT	16092 p	15484 	15369 	15310 	15558 	15453 	15413 	15081 	15158 	14644 	14195 	13850 	13251 	: 	10259 	9847 	9260 	8675 	8193 	7936 	7460 
TOTAL,F,MED_E,NAC,LT	5497 	5057 	16240 	15532 	14392 	12921 	13416 	15697 	13662 	10943 	8407 	6949 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,LU	33297 p	35133 	33781 	32740 	32180 	31959 	32036 	31468 	30579 	29531 	29454 	28228 	26674 	25304 	22905 	21833 	21219 	20526 	19717 	18990 	17947 
TOTAL,F,MED_E,NAC,LV	6159 	5580 	5016 	4517 	4299 	4107 	4418 	5129 	4560 	3224 	2397 	2015 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,MK	: 	129867 	119720 	116885 	112560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,MT	13492 	13333 	12582 	11788 	11129 	10520 	10241 	10246 	9716 	9125 	3806 	3598 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,NL	22271 b	20974 	20583 	20418 	20111 	19869 	19956 	19774 	19093 	17778 	16864 	16695 	: 	: 	13547 	13093 	12571 	12074 	11789 	11185 	10922 
TOTAL,F,MED_E,NAC,NO	345694 	338867 	335006 	315200 	309657 	289383 	278497 	271424 	248083 	227929 	224016 	209398 	207199 	201851 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,PL	24299 	23120 	22179 	21472 	20645 	19780 	18793 	17564 	15561 	13506 	12455 	11432 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,PT	8643 	8260 	8109 	8099 	8224 	8255 	8575 	8117 	8001 	7480 	7215 	7091 	6774 	: 	5936 	5580 	5273 	4881 	4695 	4466 	4158 
TOTAL,F,MED_E,NAC,RO	10700 	10016 	9341 	8804 	8601 	8638 	8498 	7897 	6366 	5574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,RS	306844 	298676 	270000 	273424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,SE	228887 	224493 b	229152 	224682 	218129 	209307 	204046 	199821 	186572 	170961 	163814 	155744 	154251 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,SI	12128 	12148 	11762 	11667 	11891 	11798 	11559 	11660 	10678 	9707 	2190553 	2070895 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,SK	6901 	6750 	6660 	6630 	6759 	6236 	6009 	5518 	157298 	143802 	125505 	110618 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,TR	: 	9800 	8753 	7886 	7438 	6567 	5886 	5740 	5109 	4804 	3903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,UK	16968 	16549 	16178 	15475 	15197 b	14518 	14334 	14205 	14711 	14015 	12897 	12265 	: 	: 	10408 	9832 	9047 	9010 	8553 	8200 	7764 
TOTAL,F,MED_E,PPS,AT	22056 	21490 	21196 	20484 	20013 	19936 	19060 	19054 	18371 b	17448 	17056 	16849 	16073 	14769 	15139 	14348 	13143 	12941 	12719 	12390 	12171 
TOTAL,F,MED_E,PPS,BE	20102 	19330 	19126 	19012 	17859 	17589 	16885 	17072 	16378 	15925 	15688 	15068 	14412 	14775 	15066 	14055 	14093 	13799 	13349 	12569 	12458 
TOTAL,F,MED_E,PPS,BG	6514 b	6685 	6649 	5771 	5530 	5630 	5706 	5617 	4676 	3207 	3147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CH	26377 	25767 	25148 b	25095 	23377 	22234 	21635 	21789 	20885 	20139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CY	15796 	15118 	15527 	16693 	18595 	18699 	17646 	18252 	17847 b	18003 	16005 	14630 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CZ	12172 	11307 	10795 	10520 	10035 	9751 	9443 	9854 	9444 	8650 	8075 	7492 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,DE	20681 	19941 	18813 	18966 	18759 	18064 	17247 	17600 	17614 	16926 	14916 	15387 	: 	: 	15501 	14478 	13570 	13270 	12893 	12354 	11654 
TOTAL,F,MED_E,PPS,DK	20581 	19947 	19655 	19412 	18870 	18838 b	17535 	17572 	17164 	16522 	15733 	15427 	14687 	15237 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EA	17639.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EA18	17718.4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EA19	17639.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EE	11417 	10111 	8872 b	8294 	7522 	7241 	7201 	7776 	7260 	6206 	5368 	4560 	3999 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EL	8736 	8755 	8561 	8724 	9910 	11389 	12311 	12382 	11907 	11160 	10920 	10532 	10072 	10067 	8902 	8726 	7828 	7609 	7198 	6879 	6566 
TOTAL,F,MED_E,PPS,ES	14963 	14352 	14005 	14166 	14125 	14186 	14786 	15101 	14674 b	12319 	11860 	11116 	11421 	: 	10518 	9713 	8781 	8283 	7848 	7472 	7281 
TOTAL,F,MED_E,PPS,EU	16091.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13436 e	12642 e	11902 e	11560 e	11042 e	10588 e	10259 e
TOTAL,F,MED_E,PPS,EU27	16155.5 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EU28	16091.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,FI	19410 	19112 	18801 	18782 	18164 	17530 	16813 	16848 	16042 	14747 	14491 	13791 	12884 	: 	12507 	11628 	11208 	10991 	10635 	10176 	: 
TOTAL,F,MED_E,PPS,FR	20466 	19627 	19012 	18913 	18501 	17878 	17459 	17418 	17275 b	14881 	14691 	14240 	13602 	: 	14356 	13294 	13062 	12709 	11757 	11631 	11378 
TOTAL,F,MED_E,PPS,HR	8587 	8094 	7510 	7273 	7261 	7287 	7499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,HU	8306 	7863 	7454 	7185 	7458 	7013 	6634 	6759 	6514 	6437 	6006 	5513 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,IE	: 	17292 	16386 	16483 	16328 	16116 	16444 	17307 	17691 	17143 	15391 	14688 	13819 	13328 	13021 	11610 	10957 	10787 	9544 	9327 	8660 
TOTAL,F,MED_E,PPS,IS	: 	19909 	19841 	19150 	17700 	17782 	18006 	21052 	21483 	19562 	18302 	16912 	15857 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,IT	16077 p	15043 	14876 	14903 	15086 	15265 	14700 	14721 	14793 	14054 	13558 	13201 	12788 	: 	11582 	11384 	10467 	9754 	9349 	9061 	8808 
TOTAL,F,MED_E,PPS,LT	9035 	8055 	7407 	6972 	6462 	5887 	5803 	6893 	6595 	5527 	4440 	3762 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,LU	27639 p	29171 	27827 	27558 	26094 	26128 	26358 	26784 	26649 	26523 	26394 	27401 	25837 	24785 	23753 	22370 	20766 	20349 	20055 	18780 	18196 
TOTAL,F,MED_E,PPS,LV	8900 	7747 	7058 	6240 	5894 	5818 	5784 	6832 	6867 	5354 	4240 	3788 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,MK	: 	4530 	4092 	3986 	3936 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,MT	16825 	16483 	15253 	14676 	14192 	13587 	13123 	13243 	12876 	12203 	11839 	11506 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,NL	20567 b	19098 	18528 	18838 	18562 	18425 	18502 	18863 	18721 	17089 	16113 	15733 	: 	: 	13574 	13512 	13129 	12480 	11756 	10955 	10561 
TOTAL,F,MED_E,PPS,NO	27932 	27694 	27310 	26332 	25356 	24037 	22892 	23613 	22512 	20266 	19885 	18506 	18219 	17781 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,PL	10710 	9896 	9466 	9100 	8551 	8200 	7470 	7237 	6664 	5552 	5070 	4744 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,PT	10544 	10102 	9978 	9726 	9678 	9444 	9612 	9221 	9338 	8806 	8483 	8118 	7874 	: 	8214 	7654 	7281 	6787 	6532 	6275 	6094 
TOTAL,F,MED_E,PPS,RO	4713 	4242 	3938 	3807 	3673 	3573 	3481 	3399 	2994 	2743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,RS	5231 	5047 	4527 	4769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SE	20136 	19650 b	20132 	20050 	19218 	18338 	17853 	18352 	17450 	15595 	14825 	14061 	13688 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SI	15250 	14877 	14150 	13990 	13999 	13706 	13147 	14084 	13538 	12662 	11927 	11398 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SK	10432 	9955 	9590 	9420 	9561 	8875 	8214 	7640 	6572 	5454 	4534 	3896 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,TR	: 	5638 	5390 	5226 	5121 	4713 	4295 	4414 	4081 	3997 	3488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
